begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2018-07-01T06:00:00Z,COAL,COAL,2133.131879694197,5848
2018-07-01T06:00:00Z,DUAL FUEL,DUAL FUEL,41.50996081458198,155
2018-07-01T06:00:00Z,GAS,COGENERATION,3226.061497778098,4935
2018-07-01T06:00:00Z,GAS,COMBINED CYCLE,836.8111283818218,1748
2018-07-01T06:00:00Z,GAS,SIMPLE CYCLE,126.54283091108005,916
2018-07-01T06:00:00Z,HYDRO,HYDRO,223.54123085669346,894
2018-07-01T06:00:00Z,OTHER,BIOMASS,103.44979057841832,165
2018-07-01T06:00:00Z,OTHER,GAS COGEN,29.20677029185825,58
2018-07-01T06:00:00Z,OTHER,OIL/GAS,43.9246554268731,53
2018-07-01T06:00:00Z,OTHER,WOOD/REFUSE,88.38884498225319,158
2018-07-01T06:00:00Z,SOLAR,SOLAR,0,15
2018-07-01T06:00:00Z,WIND,WIND,821.2755587098003,1445
2018-07-01T07:00:00Z,COAL,COAL,2105.834459874895,5848
2018-07-01T07:00:00Z,DUAL FUEL,DUAL FUEL,41.36942439821031,155
2018-07-01T07:00:00Z,GAS,COGENERATION,3176.8383153728646,4935
2018-07-01T07:00:00Z,GAS,COMBINED CYCLE,755.9415673859914,1748
2018-07-01T07:00:00Z,GAS,SIMPLE CYCLE,93.3716867687967,916
2018-07-01T07:00:00Z,HYDRO,HYDRO,221.67895156211324,894
2018-07-01T07:00:00Z,OTHER,BIOMASS,103.81296446906195,165
2018-07-01T07:00:00Z,OTHER,GAS COGEN,29.39993309630288,58
2018-07-01T07:00:00Z,OTHER,OIL/GAS,44.216293784247505,53
2018-07-01T07:00:00Z,OTHER,WOOD/REFUSE,89.24590657234191,158
2018-07-01T07:00:00Z,SOLAR,SOLAR,0,15
2018-07-01T07:00:00Z,WIND,WIND,856.0225558737583,1445
2018-07-01T08:00:00Z,COAL,COAL,2112.303891874949,5848
2018-07-01T08:00:00Z,DUAL FUEL,DUAL FUEL,41.40738395055135,155
2018-07-01T08:00:00Z,GAS,COGENERATION,3205.511158951653,4935
2018-07-01T08:00:00Z,GAS,COMBINED CYCLE,837.1617606967687,1748
2018-07-01T08:00:00Z,GAS,SIMPLE CYCLE,109.33959283775755,916
2018-07-01T08:00:00Z,HYDRO,HYDRO,245.5237960369057,894
2018-07-01T08:00:00Z,OTHER,BIOMASS,103.72826405631172,165
2018-07-01T08:00:00Z,OTHER,GAS COGEN,29.47046292755339,58
2018-07-01T08:00:00Z,OTHER,OIL/GAS,44.0886094517178,53
2018-07-01T08:00:00Z,OTHER,WOOD/REFUSE,87.99354133552976,158
2018-07-01T08:00:00Z,SOLAR,SOLAR,0,15
2018-07-01T08:00:00Z,WIND,WIND,891.0810043850045,1445
