begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2022-11-01T06:00:00Z,COAL,COAL,797.5275442843968,1286
2022-11-01T06:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-1.9512775919172496,70
2022-11-01T06:00:00Z,GAS,COGENERATION,3993.3208496563466,5235
2022-11-01T06:00:00Z,GAS,COMBINED CYCLE,1298.301913500362,1810
2022-11-01T06:00:00Z,GAS,GAS FIRED STEAM,1075.5821479203967,2609
2022-11-01T06:00:00Z,GAS,SIMPLE CYCLE,83.64922162483136,1240
2022-11-01T06:00:00Z,HYDRO,HYDRO,93.65051491321789,894
2022-11-01T06:00:00Z,OTHER,BIOMASS,108.1509697564443,154
2022-11-01T06:00:00Z,OTHER,DUAL FUEL,12.997999998728432,20
2022-11-01T06:00:00Z,OTHER,GAS,4.199951171875,10
2022-11-01T06:00:00Z,OTHER,GAS COGEN,39.00166577445136,58
2022-11-01T06:00:00Z,OTHER,OIL/GAS,44.58461533652412,53
2022-11-01T06:00:00Z,OTHER,WOOD/REFUSE,82.8019204680125,149
2022-11-01T06:00:00Z,SOLAR,SOLAR,1.4633758772412935,1138
2022-11-01T06:00:00Z,WIND,WIND,1554.045527123875,2780
2022-11-01T07:00:00Z,COAL,COAL,796.6356535169814,1286
2022-11-01T07:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-1.8078331730100845,70
2022-11-01T07:00:00Z,GAS,COGENERATION,3967.2197547512915,5235
2022-11-01T07:00:00Z,GAS,COMBINED CYCLE,1271.4210189310709,1810
2022-11-01T07:00:00Z,GAS,GAS FIRED STEAM,1062.3799402152167,2609
2022-11-01T07:00:00Z,GAS,SIMPLE CYCLE,110.71510957400004,1240
2022-11-01T07:00:00Z,HYDRO,HYDRO,59.949964794913924,894
2022-11-01T07:00:00Z,OTHER,BIOMASS,107.55785240491231,154
2022-11-01T07:00:00Z,OTHER,DUAL FUEL,12.997999998728432,20
2022-11-01T07:00:00Z,OTHER,GAS,4.199951171875,10
2022-11-01T07:00:00Z,OTHER,GAS COGEN,38.9576510726081,58
2022-11-01T07:00:00Z,OTHER,OIL/GAS,43.6243544960022,53
2022-11-01T07:00:00Z,OTHER,WOOD/REFUSE,84.55098126623365,149
2022-11-01T07:00:00Z,SOLAR,SOLAR,0.0060664807094468,1138
2022-11-01T07:00:00Z,WIND,WIND,1495.6980856959026,2780
2022-11-01T08:00:00Z,COAL,COAL,797.0254336886935,1286
2022-11-01T08:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,70
2022-11-01T08:00:00Z,GAS,COGENERATION,3985.3461141210464,5235
2022-11-01T08:00:00Z,GAS,COMBINED CYCLE,1303.0764105627272,1810
2022-11-01T08:00:00Z,GAS,GAS FIRED STEAM,1014.9635817209879,2609
2022-11-01T08:00:00Z,GAS,SIMPLE CYCLE,110.6624428012636,1240
2022-11-01T08:00:00Z,HYDRO,HYDRO,90.7451647941106,894
2022-11-01T08:00:00Z,OTHER,BIOMASS,106.81194481107924,154
2022-11-01T08:00:00Z,OTHER,DUAL FUEL,13,20
2022-11-01T08:00:00Z,OTHER,GAS,4.199951171875,10
2022-11-01T08:00:00Z,OTHER,GAS COGEN,39.00990932252672,58
2022-11-01T08:00:00Z,OTHER,OIL/GAS,43.51776011361016,53
2022-11-01T08:00:00Z,OTHER,WOOD/REFUSE,84.43168106449974,149
2022-11-01T08:00:00Z,SOLAR,SOLAR,0,1138
2022-11-01T08:00:00Z,WIND,WIND,1322.1316364467145,2780
2022-11-01T09:00:00Z,COAL,COAL,795.8530438910591,1286
2022-11-01T09:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,70
2022-11-01T09:00:00Z,GAS,COGENERATION,4034.0276728558374,5235
2022-11-01T09:00:00Z,GAS,COMBINED CYCLE,1319.387577322854,1810
2022-11-01T09:00:00Z,GAS,GAS FIRED STEAM,1092.2950105200873,2609
