begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2023-05-01T06:00:00Z,COAL,COAL,414.20127131991916,820
2023-05-01T06:00:00Z,DUAL FUEL,DUAL FUEL,466.1917170037163,466
2023-05-01T06:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,90
2023-05-01T06:00:00Z,GAS,COGENERATION,3213.1702584491172,5235
2023-05-01T06:00:00Z,GAS,COMBINED CYCLE,975.6505942927466,1810
2023-05-01T06:00:00Z,GAS,GAS FIRED STEAM,446.0408682717217,2609
2023-05-01T06:00:00Z,GAS,SIMPLE CYCLE,137.77383080588447,1240
2023-05-01T06:00:00Z,HYDRO,HYDRO,134.30669099898802,894
2023-05-01T06:00:00Z,OTHER,BIOMASS,60.79627364847396,154
2023-05-01T06:00:00Z,OTHER,DUAL FUEL,12.50333333545261,20
2023-05-01T06:00:00Z,OTHER,GAS,5.312068954573737,10
2023-05-01T06:00:00Z,OTHER,GAS COGEN,0,58
2023-05-01T06:00:00Z,OTHER,OIL/GAS,0,53
2023-05-01T06:00:00Z,OTHER,WOOD/REFUSE,76.28644783271683,149
2023-05-01T06:00:00Z,SOLAR,SOLAR,0,1192
2023-05-01T06:00:00Z,WIND,WIND,2331.8747088150512,3618
2023-05-01T07:00:00Z,COAL,COAL,546.845768017239,820
2023-05-01T07:00:00Z,DUAL FUEL,DUAL FUEL,466.20532779269746,466
2023-05-01T07:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,90
2023-05-01T07:00:00Z,GAS,COGENERATION,3301.360154254039,5235
2023-05-01T07:00:00Z,GAS,COMBINED CYCLE,975.5910964700911,1810
2023-05-01T07:00:00Z,GAS,GAS FIRED STEAM,448.2383378219605,2609
2023-05-01T07:00:00Z,GAS,SIMPLE CYCLE,155.08349690596262,1240
2023-05-01T07:00:00Z,HYDRO,HYDRO,137.24245116190778,894
2023-05-01T07:00:00Z,OTHER,BIOMASS,56.10641966183981,154
2023-05-01T07:00:00Z,OTHER,DUAL FUEL,12.503666668997871,20
2023-05-01T07:00:00Z,OTHER,GAS,5.272902263005575,10
2023-05-01T07:00:00Z,OTHER,GAS COGEN,0,58
2023-05-01T07:00:00Z,OTHER,OIL/GAS,0,53
2023-05-01T07:00:00Z,OTHER,WOOD/REFUSE,76.60209648675388,149
2023-05-01T07:00:00Z,SOLAR,SOLAR,0,1192
2023-05-01T07:00:00Z,WIND,WIND,2194.1517840893403,3618
2023-05-01T08:00:00Z,COAL,COAL,557.7126557159424,820
2023-05-01T08:00:00Z,DUAL FUEL,DUAL FUEL,466.3262711588542,466
2023-05-01T08:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,90
2023-05-01T08:00:00Z,GAS,COGENERATION,3309.0497527044513,5235
2023-05-01T08:00:00Z,GAS,COMBINED CYCLE,969.5229678079817,1810
2023-05-01T08:00:00Z,GAS,GAS FIRED STEAM,436.38344881269666,2609
2023-05-01T08:00:00Z,GAS,SIMPLE CYCLE,155.33294147173564,1240
2023-05-01T08:00:00Z,HYDRO,HYDRO,115.7270277816885,894
2023-05-01T08:00:00Z,OTHER,BIOMASS,57.7051696591907,154
2023-05-01T08:00:00Z,OTHER,DUAL FUEL,12.748000157674154,20
2023-05-01T08:00:00Z,OTHER,GAS,5.39990234375,10
2023-05-01T08:00:00Z,OTHER,GAS COGEN,0,58
2023-05-01T08:00:00Z,OTHER,OIL/GAS,0,53
2023-05-01T08:00:00Z,OTHER,WOOD/REFUSE,76.36390778130956,149
2023-05-01T08:00:00Z,SOLAR,SOLAR,0,1192
2023-05-01T08:00:00Z,WIND,WIND,2033.3107588169476,3618
2023-05-01T09:00:00Z,COAL,COAL,622.928932240804,820
2023-05-01T09:00:00Z,DUAL FUEL,DUAL FUEL,466.24743762546115,466
