begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2026-06-01T06:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-7.783555362953081,270
2026-06-01T06:00:00Z,GAS,COGENERATION,3731.3399074530603,6122
2026-06-01T06:00:00Z,GAS,COMBINED CYCLE,1538.784699910217,3974
2026-06-01T06:00:00Z,GAS,GAS FIRED STEAM,375.15782716300754,3078
2026-06-01T06:00:00Z,GAS,SIMPLE CYCLE,69.37966601530711,1014
2026-06-01T06:00:00Z,HYDRO,HYDRO,278.40067040178513,896
2026-06-01T06:00:00Z,OTHER,BIOMASS,105.00549753401015,189
2026-06-01T06:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T06:00:00Z,OTHER,GAS,1.8999509811401367,10
2026-06-01T06:00:00Z,OTHER,GAS COGEN,39.79420946651035,58
2026-06-01T06:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T06:00:00Z,OTHER,WOOD/REFUSE,79.6183072339164,149
2026-06-01T06:00:00Z,SOLAR,SOLAR,0.10000000149011612,1870
2026-06-01T06:00:00Z,WIND,WIND,2912.771622042126,5684
2026-06-01T07:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-10.720499737775988,270
2026-06-01T07:00:00Z,GAS,COGENERATION,3728.808964907328,6122
2026-06-01T07:00:00Z,GAS,COMBINED CYCLE,1372.5157958989673,3974
2026-06-01T07:00:00Z,GAS,GAS FIRED STEAM,375.0559382436011,3078
2026-06-01T07:00:00Z,GAS,SIMPLE CYCLE,69.03244378990597,1014
2026-06-01T07:00:00Z,HYDRO,HYDRO,281.7366565920247,896
2026-06-01T07:00:00Z,OTHER,BIOMASS,104.8301092810101,189
2026-06-01T07:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T07:00:00Z,OTHER,GAS,1.0924510018693077,10
2026-06-01T07:00:00Z,OTHER,GAS COGEN,39.87874993642171,58
2026-06-01T07:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T07:00:00Z,OTHER,WOOD/REFUSE,80.02666912290785,149
2026-06-01T07:00:00Z,SOLAR,SOLAR,0.10000000149011612,1870
2026-06-01T07:00:00Z,WIND,WIND,2778.2875329616336,5684
2026-06-01T08:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-8.91711087193754,270
2026-06-01T08:00:00Z,GAS,COGENERATION,3912.416464878718,6122
2026-06-01T08:00:00Z,GAS,COMBINED CYCLE,1141.8667324259545,3974
2026-06-01T08:00:00Z,GAS,GAS FIRED STEAM,375.05810441599954,3078
2026-06-01T08:00:00Z,GAS,SIMPLE CYCLE,69.23083341757456,1014
2026-06-01T08:00:00Z,HYDRO,HYDRO,260.56768991125955,896
2026-06-01T08:00:00Z,OTHER,BIOMASS,102.4074979019165,189
2026-06-01T08:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T08:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T08:00:00Z,OTHER,GAS COGEN,39.970848823123504,58
2026-06-01T08:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T08:00:00Z,OTHER,WOOD/REFUSE,79.85838707711962,149
2026-06-01T08:00:00Z,SOLAR,SOLAR,0.10000000149011612,1870
2026-06-01T08:00:00Z,WIND,WIND,2791.3878567870456,5684
2026-06-01T09:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-4.0269443242914145,270
2026-06-01T09:00:00Z,GAS,COGENERATION,3845.3163262000016,6122
2026-06-01T09:00:00Z,GAS,COMBINED CYCLE,1078.8207453129028,3974
2026-06-01T09:00:00Z,GAS,GAS FIRED STEAM,374.66260500484043,3078
2026-06-01T09:00:00Z,GAS,SIMPLE CYCLE,69.20238788392808,1014
2026-06-01T09:00:00Z,HYDRO,HYDRO,274.2234323746628,896
2026-06-01T09:00:00Z,OTHER,BIOMASS,104.71994241926406,189
2026-06-01T09:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T09:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T09:00:00Z,OTHER,GAS COGEN,40.160487455791895,58
2026-06-01T09:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T09:00:00Z,OTHER,WOOD/REFUSE,80.18006855540806,149
2026-06-01T09:00:00Z,SOLAR,SOLAR,0.10000000149011612,1870
2026-06-01T09:00:00Z,WIND,WIND,2797.475443811632,5684
2026-06-01T10:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-2.915388813614845,270
2026-06-01T10:00:00Z,GAS,COGENERATION,3889.6166612447632,6122
2026-06-01T10:00:00Z,GAS,COMBINED CYCLE,1114.9672428527144,3974
2026-06-01T10:00:00Z,GAS,GAS FIRED STEAM,374.5642720182737,3078
2026-06-01T10:00:00Z,GAS,SIMPLE CYCLE,67.31388799879286,1014
2026-06-01T10:00:00Z,HYDRO,HYDRO,308.74487661255733,896
2026-06-01T10:00:00Z,OTHER,BIOMASS,101.89016467041439,189
2026-06-01T10:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T10:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T10:00:00Z,OTHER,GAS COGEN,40.984708279503714,58
2026-06-01T10:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T10:00:00Z,OTHER,WOOD/REFUSE,80.08481162707011,149
2026-06-01T10:00:00Z,SOLAR,SOLAR,0.10000000149011612,1870
2026-06-01T10:00:00Z,WIND,WIND,2739.697978031834,5684
2026-06-01T11:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-1.998944398164749,270
2026-06-01T11:00:00Z,GAS,COGENERATION,3939.462353984548,6122
2026-06-01T11:00:00Z,GAS,COMBINED CYCLE,1208.3525984496541,3974
2026-06-01T11:00:00Z,GAS,GAS FIRED STEAM,391.6187716812558,3078
2026-06-01T11:00:00Z,GAS,SIMPLE CYCLE,67.34561017407312,1014
2026-06-01T11:00:00Z,HYDRO,HYDRO,335.74811318392557,896
2026-06-01T11:00:00Z,OTHER,BIOMASS,104.51060880555048,189
2026-06-01T11:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T11:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T11:00:00Z,OTHER,GAS COGEN,41.27930781576369,58
2026-06-01T11:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T11:00:00Z,OTHER,WOOD/REFUSE,80.44404831674365,149
2026-06-01T11:00:00Z,SOLAR,SOLAR,0.20599999517202378,1870
2026-06-01T11:00:00Z,WIND,WIND,2749.6619417705056,5684
2026-06-01T12:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.8258333107332388,270
2026-06-01T12:00:00Z,GAS,COGENERATION,3913.9811741990516,6122
2026-06-01T12:00:00Z,GAS,COMBINED CYCLE,1480.418846439388,3974
2026-06-01T12:00:00Z,GAS,GAS FIRED STEAM,394.4917714921633,3078
2026-06-01T12:00:00Z,GAS,SIMPLE CYCLE,67.35933309131198,1014
2026-06-01T12:00:00Z,HYDRO,HYDRO,348.0535424241755,896
2026-06-01T12:00:00Z,OTHER,BIOMASS,103.27427600224813,189
2026-06-01T12:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T12:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T12:00:00Z,OTHER,GAS COGEN,41.291828046374846,58
2026-06-01T12:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T12:00:00Z,OTHER,WOOD/REFUSE,80.34798648993174,149
2026-06-01T12:00:00Z,SOLAR,SOLAR,5.998999821941058,1870
2026-06-01T12:00:00Z,WIND,WIND,2807.2342394333746,5684
2026-06-01T13:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.19999998807907104,270
2026-06-01T13:00:00Z,GAS,COGENERATION,3917.157576006916,6122
2026-06-01T13:00:00Z,GAS,COMBINED CYCLE,1893.6846325786908,3974
2026-06-01T13:00:00Z,GAS,GAS FIRED STEAM,395.94471611354084,3078
2026-06-01T13:00:00Z,GAS,SIMPLE CYCLE,68.61128630313608,1014
2026-06-01T13:00:00Z,HYDRO,HYDRO,405.84621810572014,896
2026-06-01T13:00:00Z,OTHER,BIOMASS,102.68894245677524,189
2026-06-01T13:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T13:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T13:00:00Z,OTHER,GAS COGEN,40.50915903886159,58
2026-06-01T13:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T13:00:00Z,OTHER,WOOD/REFUSE,79.55714549753401,149
2026-06-01T13:00:00Z,SOLAR,SOLAR,31.057499516726367,1870
2026-06-01T13:00:00Z,WIND,WIND,2803.390648227533,5684
2026-06-01T14:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.19999998807907104,270
2026-06-01T14:00:00Z,GAS,COGENERATION,3951.6829979801178,6122
2026-06-01T14:00:00Z,GAS,COMBINED CYCLE,1918.7206728140513,3974
2026-06-01T14:00:00Z,GAS,GAS FIRED STEAM,377.6544930606418,3078
2026-06-01T14:00:00Z,GAS,SIMPLE CYCLE,70.2956651602851,1014
2026-06-01T14:00:00Z,HYDRO,HYDRO,364.03737833961014,896
2026-06-01T14:00:00Z,OTHER,BIOMASS,104.90249772071839,189
2026-06-01T14:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T14:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T14:00:00Z,OTHER,GAS COGEN,41.16711430920495,58
2026-06-01T14:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T14:00:00Z,OTHER,WOOD/REFUSE,76.36738943735759,149
2026-06-01T14:00:00Z,SOLAR,SOLAR,67.0817095998923,1870
2026-06-01T14:00:00Z,WIND,WIND,2969.6464425115455,5684
2026-06-01T15:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.01527777686301204,270
2026-06-01T15:00:00Z,GAS,COGENERATION,3972.1648424834675,6122
2026-06-01T15:00:00Z,GAS,COMBINED CYCLE,1959.91312514272,3974
2026-06-01T15:00:00Z,GAS,GAS FIRED STEAM,376.4920493888855,3078
2026-06-01T15:00:00Z,GAS,SIMPLE CYCLE,72.98448818544547,1014
2026-06-01T15:00:00Z,HYDRO,HYDRO,386.4828094731437,896
2026-06-01T15:00:00Z,OTHER,BIOMASS,102.12766509215038,189
2026-06-01T15:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T15:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T15:00:00Z,OTHER,GAS COGEN,41.2135242096583,58
2026-06-01T15:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T15:00:00Z,OTHER,WOOD/REFUSE,73.88772472249137,149
2026-06-01T15:00:00Z,SOLAR,SOLAR,117.03571159465031,1870
2026-06-01T15:00:00Z,WIND,WIND,3048.9328506886295,5684
2026-06-01T16:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,270
2026-06-01T16:00:00Z,GAS,COGENERATION,3952.7311275117263,6122
2026-06-01T16:00:00Z,GAS,COMBINED CYCLE,2021.6629411448373,3974
2026-06-01T16:00:00Z,GAS,GAS FIRED STEAM,536.1169354328845,3078
2026-06-01T16:00:00Z,GAS,SIMPLE CYCLE,76.25705491390494,1014
2026-06-01T16:00:00Z,HYDRO,HYDRO,400.84637884361877,896
2026-06-01T16:00:00Z,OTHER,BIOMASS,101.81627665625678,189
2026-06-01T16:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T16:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T16:00:00Z,OTHER,GAS COGEN,41.303708936903206,58
2026-06-01T16:00:00Z,OTHER,OIL/GAS,0,53
2026-06-01T16:00:00Z,OTHER,WOOD/REFUSE,72.60880147298177,149
2026-06-01T16:00:00Z,SOLAR,SOLAR,134.99479397921098,1870
2026-06-01T16:00:00Z,WIND,WIND,2868.398318422006,5684
2026-06-01T17:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,270
2026-06-01T17:00:00Z,GAS,COGENERATION,3932.040709535645,6122
2026-06-01T17:00:00Z,GAS,COMBINED CYCLE,1747.0438033782111,3974
2026-06-01T17:00:00Z,GAS,GAS FIRED STEAM,466.3766032324897,3078
2026-06-01T17:00:00Z,GAS,SIMPLE CYCLE,74.05116546942128,1014
2026-06-01T17:00:00Z,HYDRO,HYDRO,350.7420712731282,896
2026-06-01T17:00:00Z,OTHER,BIOMASS,102.0004985502031,189
2026-06-01T17:00:00Z,OTHER,COMPOSITE,0,20
2026-06-01T17:00:00Z,OTHER,GAS,0.9999510049819946,10
2026-06-01T17:00:00Z,OTHER,GAS COGEN,41.15461309221055,58
2026-06-01T17:00:00Z,OTHER,OIL/GAS,0,53
