begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2019-06-01T06:00:00Z,COAL,COAL,2575.020527351565,5568
2019-06-01T06:00:00Z,DUAL FUEL,DUAL FUEL,58.8201137330797,155
2019-06-01T06:00:00Z,GAS,COGENERATION,3444.997572070824,4988
2019-06-01T06:00:00Z,GAS,COMBINED CYCLE,624.648622157375,1748
2019-06-01T06:00:00Z,GAS,SIMPLE CYCLE,449.23131472706797,905
2019-06-01T06:00:00Z,HYDRO,HYDRO,180.723525627421,894
2019-06-01T06:00:00Z,OTHER,BIOMASS,124.34981121593052,154
2019-06-01T06:00:00Z,OTHER,GAS COGEN,31.63653128041161,58
2019-06-01T06:00:00Z,OTHER,OIL/GAS,42.641327946980795,53
2019-06-01T06:00:00Z,OTHER,WOOD/REFUSE,26.415660853385923,158
2019-06-01T06:00:00Z,SOLAR,SOLAR,0,15
2019-06-01T06:00:00Z,WIND,WIND,299.78237546653384,1445
2019-06-01T07:00:00Z,COAL,COAL,2379.556261412303,5568
2019-06-01T07:00:00Z,DUAL FUEL,DUAL FUEL,57.49690371407403,155
2019-06-01T07:00:00Z,GAS,COGENERATION,3455.8045904029077,4988
2019-06-01T07:00:00Z,GAS,COMBINED CYCLE,636.4760340062777,1748
2019-06-01T07:00:00Z,GAS,SIMPLE CYCLE,463.91840726695955,905
2019-06-01T07:00:00Z,HYDRO,HYDRO,181.37419657707215,894
2019-06-01T07:00:00Z,OTHER,BIOMASS,123.59857368893094,154
2019-06-01T07:00:00Z,OTHER,GAS COGEN,31.585463610225254,58
2019-06-01T07:00:00Z,OTHER,OIL/GAS,43.15297078450521,53
2019-06-01T07:00:00Z,OTHER,WOOD/REFUSE,26.407734744813705,158
2019-06-01T07:00:00Z,SOLAR,SOLAR,0,15
2019-06-01T07:00:00Z,WIND,WIND,247.62248604064186,1445
2019-06-01T08:00:00Z,COAL,COAL,2328.2194349564447,5568
2019-06-01T08:00:00Z,DUAL FUEL,DUAL FUEL,57.24538998921712,155
2019-06-01T08:00:00Z,GAS,COGENERATION,3456.6169207312664,4988
2019-06-01T08:00:00Z,GAS,COMBINED CYCLE,651.5355383080906,1748
2019-06-01T08:00:00Z,GAS,SIMPLE CYCLE,462.75185454662477,905
2019-06-01T08:00:00Z,HYDRO,HYDRO,193.39358004263707,894
2019-06-01T08:00:00Z,OTHER,BIOMASS,120.50302837504282,154
2019-06-01T08:00:00Z,OTHER,GAS COGEN,31.54238392776913,58
2019-06-01T08:00:00Z,OTHER,OIL/GAS,43.2822542974684,53
2019-06-01T08:00:00Z,OTHER,WOOD/REFUSE,25.705141958660548,158
2019-06-01T08:00:00Z,SOLAR,SOLAR,0,15
2019-06-01T08:00:00Z,WIND,WIND,202.28464425333672,1445
2019-06-01T09:00:00Z,COAL,COAL,2277.9945300504896,5568
2019-06-01T09:00:00Z,DUAL FUEL,DUAL FUEL,57.57075802273221,155
2019-06-01T09:00:00Z,GAS,COGENERATION,3477.0137273398373,4988
2019-06-01T09:00:00Z,GAS,COMBINED CYCLE,640.7825255566173,1748
2019-06-01T09:00:00Z,GAS,SIMPLE CYCLE,464.9238954173194,905
2019-06-01T09:00:00Z,HYDRO,HYDRO,176.18785920434527,894
2019-06-01T09:00:00Z,OTHER,BIOMASS,116.13985613875919,154
2019-06-01T09:00:00Z,OTHER,GAS COGEN,31.739673883650042,58
2019-06-01T09:00:00Z,OTHER,OIL/GAS,43.24714334699843,53
2019-06-01T09:00:00Z,OTHER,WOOD/REFUSE,25.51850586944156,158
2019-06-01T09:00:00Z,SOLAR,SOLAR,0,15
2019-06-01T09:00:00Z,WIND,WIND,199.1445714306997,1445
2019-06-01T10:00:00Z,COAL,COAL,2182.375852364434,5568
2019-06-01T10:00:00Z,DUAL FUEL,DUAL FUEL,56.55629774093628,155
2019-06-01T10:00:00Z,GAS,COGENERATION,3483.744243482463,4988
2019-06-01T10:00:00Z,GAS,COMBINED CYCLE,705.0501195261213,1748
2019-06-01T10:00:00Z,GAS,SIMPLE CYCLE,457.9603763935632,905
2019-06-01T10:00:00Z,HYDRO,HYDRO,204.42530065337817,894
2019-06-01T10:00:00Z,OTHER,BIOMASS,120.80852363811599,154
2019-06-01T10:00:00Z,OTHER,GAS COGEN,31.831042087872824,58
2019-06-01T10:00:00Z,OTHER,OIL/GAS,42.688109489017066,53
2019-06-01T10:00:00Z,OTHER,WOOD/REFUSE,24.61795808421241,158
2019-06-01T10:00:00Z,SOLAR,SOLAR,0,15
2019-06-01T10:00:00Z,WIND,WIND,199.03248419304688,1445
2019-06-01T11:00:00Z,COAL,COAL,2082.294127193027,5568
2019-06-01T11:00:00Z,DUAL FUEL,DUAL FUEL,54.91802217695448,155
2019-06-01T11:00:00Z,GAS,COGENERATION,3489.1521545951564,4988
2019-06-01T11:00:00Z,GAS,COMBINED CYCLE,824.3808015452491,1748
2019-06-01T11:00:00Z,GAS,SIMPLE CYCLE,455.98731970773804,905
2019-06-01T11:00:00Z,HYDRO,HYDRO,174.0676820324527,894
2019-06-01T11:00:00Z,OTHER,BIOMASS,124.32824559635586,154
2019-06-01T11:00:00Z,OTHER,GAS COGEN,31.828642514546715,58
2019-06-01T11:00:00Z,OTHER,OIL/GAS,43.30669322967529,53
2019-06-01T11:00:00Z,OTHER,WOOD/REFUSE,24.367357055346172,158
2019-06-01T11:00:00Z,SOLAR,SOLAR,0,15
2019-06-01T11:00:00Z,WIND,WIND,229.4246207696365,1445
2019-06-01T12:00:00Z,COAL,COAL,1834.8102218140498,5568
2019-06-01T12:00:00Z,DUAL FUEL,DUAL FUEL,55.44908487531874,155
2019-06-01T12:00:00Z,GAS,COGENERATION,3497.3634524915947,4988
2019-06-01T12:00:00Z,GAS,COMBINED CYCLE,973.574661093288,1748
2019-06-01T12:00:00Z,GAS,SIMPLE CYCLE,458.2771833971474,905
2019-06-01T12:00:00Z,HYDRO,HYDRO,233.05166110896403,894
2019-06-01T12:00:00Z,OTHER,BIOMASS,122.75644579357571,154
2019-06-01T12:00:00Z,OTHER,GAS COGEN,31.94381252924601,58
2019-06-01T12:00:00Z,OTHER,OIL/GAS,42.525221000247534,53
2019-06-01T12:00:00Z,OTHER,WOOD/REFUSE,25.40946460088094,158
2019-06-01T12:00:00Z,SOLAR,SOLAR,0.5609999732838736,15
