begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2015-11-01T06:00:00Z,COAL,COAL,3695.8650985670088,6289
2015-11-01T06:00:00Z,GAS,COGENERATION,3118.545391542183,4504
2015-11-01T06:00:00Z,GAS,COMBINED CYCLE,363.85654491961003,1716
2015-11-01T06:00:00Z,GAS,SIMPLE CYCLE,23.180166287951995,984
2015-11-01T06:00:00Z,HYDRO,HYDRO,78.45925076444944,894
2015-11-01T06:00:00Z,OTHER,BIOMASS,106.47635625150468,156
2015-11-01T06:00:00Z,OTHER,GAS COGEN,21.25245056152344,61
2015-11-01T06:00:00Z,OTHER,OIL/GAS,40.09634890238444,53
2015-11-01T06:00:00Z,OTHER,WOOD/REFUSE,71.0355969344245,158
2015-11-01T06:00:00Z,WIND,WIND,1025.3107168808745,1434
2015-11-01T07:00:00Z,COAL,COAL,3677.0951437309054,6289
2015-11-01T07:00:00Z,GAS,COGENERATION,3094.1823572135636,4504
2015-11-01T07:00:00Z,GAS,COMBINED CYCLE,360.2103226869636,1716
2015-11-01T07:00:00Z,GAS,SIMPLE CYCLE,23.199999570846558,984
2015-11-01T07:00:00Z,HYDRO,HYDRO,80.8529745160871,894
2015-11-01T07:00:00Z,OTHER,BIOMASS,106.61807765483856,156
2015-11-01T07:00:00Z,OTHER,GAS COGEN,21.15744345241123,61
2015-11-01T07:00:00Z,OTHER,OIL/GAS,40.15343768437703,53
2015-11-01T07:00:00Z,OTHER,WOOD/REFUSE,70.664796450403,158
2015-11-01T07:00:00Z,WIND,WIND,928.1325309375591,1434
2015-11-01T08:00:00Z,COAL,COAL,3673.41398007022,6289
2015-11-01T08:00:00Z,GAS,COGENERATION,3091.2839951725136,4504
2015-11-01T08:00:00Z,GAS,COMBINED CYCLE,359.99760466982923,1716
2015-11-01T08:00:00Z,GAS,SIMPLE CYCLE,23.199999570846558,984
2015-11-01T08:00:00Z,HYDRO,HYDRO,84.97721508098974,894
2015-11-01T08:00:00Z,OTHER,BIOMASS,107.7284291267395,156
2015-11-01T08:00:00Z,OTHER,GAS COGEN,21.140226896603902,61
2015-11-01T08:00:00Z,OTHER,OIL/GAS,40.26582070032755,53
2015-11-01T08:00:00Z,OTHER,WOOD/REFUSE,70.20784074306488,158
2015-11-01T08:00:00Z,WIND,WIND,883.7045205084484,1434
2015-11-01T09:00:00Z,COAL,COAL,3719.938812556267,6289
2015-11-01T09:00:00Z,GAS,COGENERATION,3080.5308170892795,4504
2015-11-01T09:00:00Z,GAS,COMBINED CYCLE,362.1249061675204,1716
2015-11-01T09:00:00Z,GAS,SIMPLE CYCLE,23.199999570846558,984
2015-11-01T09:00:00Z,HYDRO,HYDRO,97.98619109637207,894
2015-11-01T09:00:00Z,OTHER,BIOMASS,106.0236394347085,156
2015-11-01T09:00:00Z,OTHER,GAS COGEN,21.102859613895415,61
2015-11-01T09:00:00Z,OTHER,OIL/GAS,40.23235471089681,53
2015-11-01T09:00:00Z,OTHER,WOOD/REFUSE,70.55193561606937,158
2015-11-01T09:00:00Z,WIND,WIND,764.6499876893891,1434
2015-11-01T10:00:00Z,COAL,COAL,3841.04549569726,6289
2015-11-01T10:00:00Z,GAS,COGENERATION,3077.826403388911,4504
2015-11-01T10:00:00Z,GAS,COMBINED CYCLE,356.00807780404887,1716
2015-11-01T10:00:00Z,GAS,SIMPLE CYCLE,23.199999570846558,984
2015-11-01T10:00:00Z,HYDRO,HYDRO,68.70862263056966,894
2015-11-01T10:00:00Z,OTHER,BIOMASS,107.28436948246427,156
2015-11-01T10:00:00Z,OTHER,GAS COGEN,21.105007616149052,61
2015-11-01T10:00:00Z,OTHER,OIL/GAS,40.21757698694865,53
2015-11-01T10:00:00Z,OTHER,WOOD/REFUSE,70.09745219071706,158
2015-11-01T10:00:00Z,WIND,WIND,701.5838306075997,1434
2015-11-01T11:00:00Z,COAL,COAL,3773.4642483937077,6289
2015-11-01T11:00:00Z,GAS,COGENERATION,3083.371302137905,4504
2015-11-01T11:00:00Z,GAS,COMBINED CYCLE,321.33695432305336,1716
2015-11-01T11:00:00Z,GAS,SIMPLE CYCLE,23.199999570846558,984
2015-11-01T11:00:00Z,HYDRO,HYDRO,63.56210788998339,894
2015-11-01T11:00:00Z,OTHER,BIOMASS,108.32530689663358,156
2015-11-01T11:00:00Z,OTHER,GAS COGEN,21.050544216897755,61
2015-11-01T11:00:00Z,OTHER,OIL/GAS,41.51767108705309,53
2015-11-01T11:00:00Z,OTHER,WOOD/REFUSE,70.78918589062161,158
2015-11-01T11:00:00Z,WIND,WIND,862.9009520829386,1434
2015-11-01T12:00:00Z,COAL,COAL,3779.1239176291892,6289
2015-11-01T12:00:00Z,GAS,COGENERATION,3076.242203934325,4504
2015-11-01T12:00:00Z,GAS,COMBINED CYCLE,320.16549347711936,1716
2015-11-01T12:00:00Z,GAS,SIMPLE CYCLE,23.199999570846558,984
2015-11-01T12:00:00Z,HYDRO,HYDRO,69.2116691643662,894
2015-11-01T12:00:00Z,OTHER,BIOMASS,104.5466766807768,156
2015-11-01T12:00:00Z,OTHER,GAS COGEN,21.061834431224398,61
2015-11-01T12:00:00Z,OTHER,OIL/GAS,42.3756486553616,53
2015-11-01T12:00:00Z,OTHER,WOOD/REFUSE,70.64215209537082,158
2015-11-01T12:00:00Z,WIND,WIND,888.8892653525206,1434
2015-11-01T13:00:00Z,COAL,COAL,3860.4220574768383,6289
2015-11-01T13:00:00Z,GAS,COGENERATION,3086.163424084981,4504
2015-11-01T13:00:00Z,GAS,COMBINED CYCLE,324.9658757742246,1716
2015-11-01T13:00:00Z,GAS,SIMPLE CYCLE,23.199999570846558,984
2015-11-01T13:00:00Z,HYDRO,HYDRO,92.385918731027175,894
2015-11-01T13:00:00Z,OTHER,BIOMASS,108.12625350316365,156
2015-11-01T13:00:00Z,OTHER,GAS COGEN,21.04109630001916,61
