begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2025-10-01T06:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-6.271055497295326,190
2025-10-01T06:00:00Z,GAS,COGENERATION,3547.534791326655,6097
2025-10-01T06:00:00Z,GAS,COMBINED CYCLE,2636.1258868998952,3942
2025-10-01T06:00:00Z,GAS,GAS FIRED STEAM,655.6675443230735,3078
2025-10-01T06:00:00Z,GAS,SIMPLE CYCLE,46.38566577778922,984
2025-10-01T06:00:00Z,HYDRO,HYDRO,118.60691691762871,899
2025-10-01T06:00:00Z,OTHER,BIOMASS,89.30149786684248,189
2025-10-01T06:00:00Z,OTHER,COMPOSITE,0,20
2025-10-01T06:00:00Z,OTHER,GAS,2.220506630341212,10
2025-10-01T06:00:00Z,OTHER,GAS COGEN,12.353110733032226,58
2025-10-01T06:00:00Z,OTHER,OIL/GAS,37.68690427992079,53
2025-10-01T06:00:00Z,OTHER,WOOD/REFUSE,97.60022592279647,149
2025-10-01T06:00:00Z,SOLAR,SOLAR,-0.03809718989663654,1850
2025-10-01T06:00:00Z,WIND,WIND,2936.097186141378,5684
2025-10-01T07:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-12.977999875545501,190
2025-10-01T07:00:00Z,GAS,COGENERATION,3592.1856511146493,6097
2025-10-01T07:00:00Z,GAS,COMBINED CYCLE,2623.6158428457047,3942
2025-10-01T07:00:00Z,GAS,GAS FIRED STEAM,518.8973623736699,3078
2025-10-01T07:00:00Z,GAS,SIMPLE CYCLE,46.45588799821006,984
2025-10-01T07:00:00Z,HYDRO,HYDRO,127.93614172299704,899
2025-10-01T07:00:00Z,OTHER,BIOMASS,90.44927566316393,189
2025-10-01T07:00:00Z,OTHER,COMPOSITE,0,20
2025-10-01T07:00:00Z,OTHER,GAS,1.1999510526657104,10
2025-10-01T07:00:00Z,OTHER,GAS COGEN,12.205499812761945,58
2025-10-01T07:00:00Z,OTHER,OIL/GAS,37.76761538611518,53
2025-10-01T07:00:00Z,OTHER,WOOD/REFUSE,98.01482210000356,149
2025-10-01T07:00:00Z,SOLAR,SOLAR,-0.06660525840189722,1850
2025-10-01T07:00:00Z,WIND,WIND,2901.983274522854,5684
2025-10-01T08:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-12.679277664025625,190
2025-10-01T08:00:00Z,GAS,COGENERATION,3647.2787124888764,6097
2025-10-01T08:00:00Z,GAS,COMBINED CYCLE,2618.493581674099,3942
2025-10-01T08:00:00Z,GAS,GAS FIRED STEAM,516.7939610168669,3078
2025-10-01T08:00:00Z,GAS,SIMPLE CYCLE,46.286499377621546,984
2025-10-01T08:00:00Z,HYDRO,HYDRO,131.8997140443325,899
2025-10-01T08:00:00Z,OTHER,BIOMASS,88.79566521379682,189
2025-10-01T08:00:00Z,OTHER,COMPOSITE,0,20
2025-10-01T08:00:00Z,OTHER,GAS,1.1999510526657104,10
2025-10-01T08:00:00Z,OTHER,GAS COGEN,12.15377758555942,58
2025-10-01T08:00:00Z,OTHER,OIL/GAS,37.66901007546319,53
2025-10-01T08:00:00Z,OTHER,WOOD/REFUSE,97.65605708069272,149
2025-10-01T08:00:00Z,SOLAR,SOLAR,9.2266784773932e-4,1850
2025-10-01T08:00:00Z,WIND,WIND,2774.8955146306093,5684
2025-10-01T09:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-9.807111029873292,190
2025-10-01T09:00:00Z,GAS,COGENERATION,3619.195853570435,6097
2025-10-01T09:00:00Z,GAS,COMBINED CYCLE,2580.1280159250896,3942
2025-10-01T09:00:00Z,GAS,GAS FIRED STEAM,517.6293182637957,3078
2025-10-01T09:00:00Z,GAS,SIMPLE CYCLE,46.20533282518387,984
2025-10-01T09:00:00Z,HYDRO,HYDRO,115.42249837067392,899
2025-10-01T09:00:00Z,OTHER,BIOMASS,88.18233160336813,189
2025-10-01T09:00:00Z,OTHER,COMPOSITE,0,20
