begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2015-08-01T06:00:00Z,COAL,COAL,4356.834807270865,6277
2015-08-01T06:00:00Z,GAS,COGENERATION,2983.360672976507,4504
2015-08-01T06:00:00Z,GAS,COMBINED CYCLE,596.9370724238952,1716
2015-08-01T06:00:00Z,GAS,SIMPLE CYCLE,30.952332655588787,984
2015-08-01T06:00:00Z,HYDRO,HYDRO,130.19060242394607,894
2015-08-01T06:00:00Z,OTHER,BIOMASS,129.63389468193054,156
2015-08-01T06:00:00Z,OTHER,GAS COGEN,0,61
2015-08-01T06:00:00Z,OTHER,OIL/GAS,46.97873074213664,53
2015-08-01T06:00:00Z,OTHER,WOOD/REFUSE,78.66745106538136,158
2015-08-01T06:00:00Z,WIND,WIND,387.150936691314,1434
2015-08-01T07:00:00Z,COAL,COAL,4208.54782984482,6277
2015-08-01T07:00:00Z,GAS,COGENERATION,3010.724130790631,4504
2015-08-01T07:00:00Z,GAS,COMBINED CYCLE,566.950235834519,1716
2015-08-01T07:00:00Z,GAS,SIMPLE CYCLE,31.00666569603814,984
2015-08-01T07:00:00Z,HYDRO,HYDRO,131.69084269540176,894
2015-08-01T07:00:00Z,OTHER,BIOMASS,130.49031381050747,156
2015-08-01T07:00:00Z,OTHER,GAS COGEN,0,61
2015-08-01T07:00:00Z,OTHER,OIL/GAS,47.353809168073866,53
2015-08-01T07:00:00Z,OTHER,WOOD/REFUSE,78.80890524546305,158
2015-08-01T07:00:00Z,WIND,WIND,321.3824790410987,1434
2015-08-01T08:00:00Z,COAL,COAL,4131.460395502713,6277
2015-08-01T08:00:00Z,GAS,COGENERATION,3014.810377774106,4504
2015-08-01T08:00:00Z,GAS,COMBINED CYCLE,564.4902522543404,1716
2015-08-01T08:00:00Z,GAS,SIMPLE CYCLE,30.999999046325684,984
2015-08-01T08:00:00Z,HYDRO,HYDRO,129.70202808466223,894
2015-08-01T08:00:00Z,OTHER,BIOMASS,127.52266336494023,156
2015-08-01T08:00:00Z,OTHER,GAS COGEN,0,61
2015-08-01T08:00:00Z,OTHER,OIL/GAS,47.328631801605226,53
2015-08-01T08:00:00Z,OTHER,WOOD/REFUSE,79.93130708270603,158
2015-08-01T08:00:00Z,WIND,WIND,276.4399999943872,1434
2015-08-01T09:00:00Z,COAL,COAL,4163.767399839461,6277
